,coef,pval
Intercept,3.4776060153878667,8.634823834421522e-24
moving_cases_lag_1,0.9498424811344495,0.0
moving_cases_lag_2,0.04587319464895963,0.0
moving_cases_lag_3,0.005685997800142763,9.975656910035204e-08
moving_cases_lag_4,-0.011396988771260856,1.0901309880530004e-26
moving_cases_lag_5,-0.05388512806310533,0.0
unemployment_rate_2020,0.024335642508219624,1.164502281331802e-05
median_household_income_2019,5.754821671618508e-06,8.930385238826533e-05
poverty_frac_2019,2.4983197018559764,3.7189255048714675e-10
no_high_school,1.3627796608684157,8.245359250192864e-06
high_school_only,0.775329569691344,0.00043804750712504075
college_only,0.42493649198279826,0.11744577005173579
voted_biden,-0.562340897953586,4.7545352924698454e-06
percent_hispanic,-0.008608498297803635,0.9648158118727623
percent_non_hispanic_black,-0.4297040145124953,0.01911940365549217
percent_non_hispanic_white,-0.0747393641007239,0.6815236375985165
face_masks_required_in_public_Public_mask_mandate,-0.08160578138604224,0.0220985445485415
stay_at_home_Mandatory___all_people,0.09584833404605053,4.2777094545653635e-05
gathering_ban_binary_Yes,-0.5223545849127533,1.3442042400423762e-50
pct_fully_vaccinated,0.011920239808960814,2.701743683621598e-37
weekday_0[0],0.005598919049513235,0.7630179345694709
weekday_0[1],0.005598919049511597,0.7630179345695383
weekday_1[0],0.05997293033641009,0.0012395557237659363
weekday_1[1],0.05997293033641131,0.001239555723765655
weekday_2[0],0.06505126917845415,0.0004616672665881556
weekday_2[1],0.06505126917844785,0.0004616672665887477
weekday_3[0],0.04013327266265363,0.030509342889396763
weekday_3[1],0.04013327266265948,0.030509342889372404
weekday_4[0],0.019052163356313837,0.3042115128478438
weekday_4[1],0.019052163356309923,0.30421151284794323
weekday_5[0],-0.004458527795927397,0.809854372421121
weekday_5[1],-0.004458527795940196,0.8098543724205857
year_2020[0],-0.33117910445372223,1.4769361591945737e-11
year_2020[1],-0.33117910445372,1.476936159194895e-11
year_2021[0],-0.5531065135485262,3.5736079666093614e-104
year_2021[1],-0.5531065135484701,3.5736079670257574e-104
month_1[0],1.8387071273187487,0.0
month_1[1],1.8387071273187385,0.0
month_10[0],-0.8797120977070658,9.072328933168651e-294
month_10[1],-0.879712097707066,9.072328933163489e-294
month_11[0],-0.3296612931258551,2.6080948421218475e-43
month_11[1],-0.3296612931258509,2.6080948421289264e-43
month_2[0],-1.6198632005096423,0.0
month_2[1],-1.6198632005096543,0.0
month_3[0],-1.867828588234608,0.0
month_3[1],-1.8678285882346222,0.0
month_4[0],-1.8122520072227877,0.0
month_4[1],-1.8122520072227761,0.0
month_5[0],-1.8042361517538525,0.0
month_5[1],-1.8042361517538636,0.0
month_6[0],-1.7063674809270388,0.0
month_6[1],-1.7063674809270504,0.0
month_7[0],-1.4255461159867662,0.0
month_7[1],-1.4255461159867533,0.0
month_8[0],-0.830034076037891,2.0537552894973296e-254
month_8[1],-0.830034076037891,2.0537552894980308e-254
month_9[0],-0.7522177486059802,3.038802589840509e-211
month_9[1],-0.7522177486059889,3.0388025898059257e-211
