date,variable,state_code,value
2020-10-25,mask_requirement,Michigan,1956.72607421875
2020-10-25,mask_requirement,Mississippi,2029.7891845703125
2020-10-25,no_mask_requirement,Michigan,1890.1837158203125
2020-10-25,no_mask_requirement,Mississippi,2161.5537109375
2020-10-26,mask_requirement,Michigan,1982.475830078125
2020-10-26,mask_requirement,Mississippi,2043.5145263671875
2020-10-26,no_mask_requirement,Michigan,1934.638427734375
2020-10-26,no_mask_requirement,Mississippi,2137.23046875
2020-10-27,mask_requirement,Michigan,1988.69970703125
2020-10-27,mask_requirement,Mississippi,2031.070556640625
2020-10-27,no_mask_requirement,Michigan,1968.87841796875
2020-10-27,no_mask_requirement,Mississippi,2081.611328125
2020-10-28,mask_requirement,Michigan,2056.129638671875
2020-10-28,mask_requirement,Mississippi,2077.8037109375
2020-10-28,no_mask_requirement,Michigan,2031.6207275390625
2020-10-28,no_mask_requirement,Mississippi,2059.519775390625
2020-10-29,mask_requirement,Michigan,2095.680908203125
2020-10-29,mask_requirement,Mississippi,2080.115478515625
2020-10-29,no_mask_requirement,Michigan,2053.38525390625
2020-10-29,no_mask_requirement,Mississippi,2031.7779541015625
2020-10-30,mask_requirement,Michigan,2127.458984375
2020-10-30,mask_requirement,Mississippi,2093.388427734375
2020-10-30,no_mask_requirement,Michigan,2086.63916015625
2020-10-30,no_mask_requirement,Mississippi,2069.372314453125
2020-10-31,mask_requirement,Michigan,2134.82421875
2020-10-31,mask_requirement,Mississippi,2098.460693359375
2020-10-31,no_mask_requirement,Michigan,2137.448486328125
2020-10-31,no_mask_requirement,Mississippi,2010.211181640625
2020-11-01,mask_requirement,Michigan,2236.732177734375
2020-11-01,mask_requirement,Mississippi,2155.79248046875
2020-11-01,no_mask_requirement,Michigan,2242.24853515625
2020-11-01,no_mask_requirement,Mississippi,2089.415771484375
2020-11-02,mask_requirement,Michigan,2352.532958984375
2020-11-02,mask_requirement,Mississippi,2180.834228515625
2020-11-02,no_mask_requirement,Michigan,2367.937744140625
2020-11-02,no_mask_requirement,Mississippi,2169.7646484375
2020-11-03,mask_requirement,Michigan,2428.7392578125
2020-11-03,mask_requirement,Mississippi,2215.98388671875
2020-11-03,no_mask_requirement,Michigan,2506.970458984375
2020-11-03,no_mask_requirement,Mississippi,2179.549560546875
2020-11-04,mask_requirement,Michigan,2576.982177734375
2020-11-04,mask_requirement,Mississippi,2239.32373046875
2020-11-04,no_mask_requirement,Michigan,2653.46240234375
2020-11-04,no_mask_requirement,Mississippi,2287.4990234375
2020-11-05,mask_requirement,Michigan,2765.27734375
2020-11-05,mask_requirement,Mississippi,2270.120849609375
2020-11-05,no_mask_requirement,Michigan,2783.27978515625
2020-11-05,no_mask_requirement,Mississippi,2288.31494140625
2020-11-06,mask_requirement,Michigan,2837.754638671875
2020-11-06,mask_requirement,Mississippi,2344.500244140625
2020-11-06,no_mask_requirement,Michigan,2893.76513671875
2020-11-06,no_mask_requirement,Mississippi,2398.57373046875
2020-11-07,mask_requirement,Michigan,2911.26416015625
2020-11-07,mask_requirement,Mississippi,2321.05224609375
2020-11-07,no_mask_requirement,Michigan,3072.550048828125
2020-11-07,no_mask_requirement,Mississippi,2433.267578125
2020-11-08,mask_requirement,Michigan,3033.36328125
2020-11-08,mask_requirement,Mississippi,2370.112548828125
2020-11-08,no_mask_requirement,Michigan,3124.04052734375
2020-11-08,no_mask_requirement,Mississippi,2527.406005859375
2020-11-09,mask_requirement,Michigan,3173.76708984375
2020-11-09,mask_requirement,Mississippi,2402.521728515625
2020-11-09,no_mask_requirement,Michigan,3220.176025390625
2020-11-09,no_mask_requirement,Mississippi,2547.5810546875
2020-11-10,mask_requirement,Michigan,3264.2548828125
2020-11-10,mask_requirement,Mississippi,2440.148193359375
2020-11-10,no_mask_requirement,Michigan,3349.84765625
2020-11-10,no_mask_requirement,Mississippi,2613.494384765625
2020-11-11,mask_requirement,Michigan,3405.41748046875
2020-11-11,mask_requirement,Mississippi,2514.706787109375
2020-11-11,mask_requirement,Nebraska,9097.662109375
2020-11-11,no_mask_requirement,Michigan,3433.993408203125
2020-11-11,no_mask_requirement,Mississippi,2630.017578125
2020-11-11,no_mask_requirement,Nebraska,9088.0263671875
2020-11-12,mask_requirement,Michigan,3494.426025390625
2020-11-12,mask_requirement,Mississippi,2514.9033203125
2020-11-12,mask_requirement,Nebraska,9320.2412109375
2020-11-12,no_mask_requirement,Michigan,3486.1640625
2020-11-12,no_mask_requirement,Mississippi,2651.41455078125
2020-11-12,no_mask_requirement,Nebraska,9347.2900390625
2020-11-13,mask_requirement,Michigan,3664.546630859375
2020-11-13,mask_requirement,Mississippi,2592.07568359375
2020-11-13,mask_requirement,Nebraska,9373.6357421875
2020-11-13,no_mask_requirement,Michigan,3616.585693359375
2020-11-13,no_mask_requirement,Mississippi,2711.658203125
2020-11-13,no_mask_requirement,Nebraska,9502.998046875
2020-11-14,mask_requirement,Michigan,3708.01904296875
2020-11-14,mask_requirement,Mississippi,2645.444091796875
2020-11-14,mask_requirement,Nebraska,9417.6015625
2020-11-14,no_mask_requirement,Michigan,3716.952880859375
2020-11-14,no_mask_requirement,Mississippi,2729.06298828125
2020-11-14,no_mask_requirement,Nebraska,9499.6826171875
2020-11-15,mask_requirement,Michigan,3757.8447265625
2020-11-15,mask_requirement,Mississippi,2635.81884765625
2020-11-15,mask_requirement,Nebraska,9354.302734375
2020-11-15,no_mask_requirement,Michigan,3737.080322265625
2020-11-15,no_mask_requirement,Mississippi,2742.53125
2020-11-15,no_mask_requirement,Nebraska,9503.470703125
2020-11-16,mask_requirement,Michigan,3878.26708984375
2020-11-16,mask_requirement,Mississippi,2669.437744140625
2020-11-16,mask_requirement,Nebraska,9092.8837890625
2020-11-16,no_mask_requirement,Michigan,3877.208251953125
2020-11-16,no_mask_requirement,Mississippi,2756.343017578125
2020-11-16,no_mask_requirement,Nebraska,9350.8564453125
2020-11-17,mask_requirement,Michigan,4004.259033203125
2020-11-17,mask_requirement,Mississippi,2643.1826171875
2020-11-17,mask_requirement,Nebraska,9220.462890625
2020-11-17,no_mask_requirement,Michigan,3980.796142578125
2020-11-17,no_mask_requirement,Mississippi,2773.888671875
2020-11-17,no_mask_requirement,Nebraska,9350.28515625
2020-11-18,mask_requirement,Michigan,4095.082275390625
2020-11-18,mask_requirement,Mississippi,2666.4423828125
2020-11-18,mask_requirement,Nebraska,9192.91796875
2020-11-18,no_mask_requirement,Michigan,4248.27001953125
2020-11-18,no_mask_requirement,Mississippi,2801.745849609375
2020-11-18,no_mask_requirement,Nebraska,9296.044921875
2020-11-19,mask_requirement,Michigan,4210.06103515625
2020-11-19,mask_requirement,Mississippi,2738.17724609375
2020-11-19,mask_requirement,Nebraska,9122.6767578125
2020-11-19,no_mask_requirement,Michigan,4281.79638671875
2020-11-19,no_mask_requirement,Mississippi,2855.34130859375
2020-11-19,no_mask_requirement,Nebraska,9282.60546875
2020-11-20,mask_requirement,Michigan,4359.4052734375
2020-11-20,mask_requirement,Mississippi,2757.61865234375
2020-11-20,mask_requirement,Nebraska,9135.853515625
2020-11-20,no_mask_requirement,Michigan,4468.86474609375
2020-11-20,no_mask_requirement,Mississippi,2888.2255859375
2020-11-20,no_mask_requirement,Nebraska,9199.4736328125
2020-11-21,mask_requirement,Michigan,4410.38916015625
2020-11-21,mask_requirement,Mississippi,2787.093017578125
2020-11-21,mask_requirement,Nebraska,8885.6435546875
2020-11-21,no_mask_requirement,Michigan,4588.2216796875
2020-11-21,no_mask_requirement,Mississippi,2879.760009765625
2020-11-21,no_mask_requirement,Nebraska,9054.3955078125
2020-11-22,mask_requirement,Michigan,4498.587890625
2020-11-22,mask_requirement,Mississippi,2734.1357421875
2020-11-22,mask_requirement,Nebraska,9044.1884765625
2020-11-22,no_mask_requirement,Michigan,4685.15185546875
2020-11-22,no_mask_requirement,Mississippi,2851.503662109375
2020-11-22,no_mask_requirement,Nebraska,8913.3173828125
2020-11-23,mask_requirement,Michigan,4607.984375
2020-11-23,mask_requirement,Mississippi,2774.955322265625
2020-11-23,mask_requirement,Nebraska,8977.697265625
2020-11-23,no_mask_requirement,Michigan,4739.5166015625
2020-11-23,no_mask_requirement,Mississippi,2949.33203125
2020-11-23,no_mask_requirement,Nebraska,9024.3095703125
2020-11-24,mask_requirement,Michigan,4730.9072265625
2020-11-24,mask_requirement,Mississippi,2770.457275390625
2020-11-24,mask_requirement,Nebraska,8791.2138671875
2020-11-24,no_mask_requirement,Michigan,4817.41796875
2020-11-24,no_mask_requirement,Mississippi,2944.9404296875
2020-11-24,no_mask_requirement,Nebraska,8977.1484375
2020-11-25,mask_requirement,Michigan,4809.31494140625
2020-11-25,mask_requirement,Mississippi,2739.396484375
2020-11-25,mask_requirement,Nebraska,8680.46875
2020-11-25,no_mask_requirement,Michigan,4999.27587890625
2020-11-25,no_mask_requirement,Mississippi,2957.22216796875
2020-11-25,no_mask_requirement,Nebraska,8844.3369140625
2020-11-26,mask_requirement,Michigan,4889.1689453125
2020-11-26,mask_requirement,Mississippi,2735.4833984375
2020-11-26,mask_requirement,Nebraska,8714.689453125
2020-11-26,no_mask_requirement,Michigan,5080.5927734375
2020-11-26,no_mask_requirement,Mississippi,2988.41162109375
2020-11-26,no_mask_requirement,Nebraska,8761.4306640625
2020-11-27,mask_requirement,Michigan,4908.95068359375
2020-11-27,mask_requirement,Mississippi,2749.12255859375
2020-11-27,mask_requirement,Nebraska,8606.6767578125
2020-11-27,no_mask_requirement,Michigan,5179.49267578125
2020-11-27,no_mask_requirement,Mississippi,2980.4560546875
2020-11-27,no_mask_requirement,Nebraska,8761.9794921875
2020-11-28,mask_requirement,Michigan,4970.14794921875
2020-11-28,mask_requirement,Mississippi,2744.595458984375
