"","Utah.week","Utah.total_sequences","Utah.20I..Alpha..V1.","Utah.20H..Beta..V2.","Utah.20J..Gamma..V3.","Utah.21A..Delta.","Utah.21I..Delta.","Utah.21J..Delta.","Utah.21K..Omicron.","Utah.21L..Omicron.","Utah.22B..Omicron.","Utah.22C..Omicron.","Utah.21B..Kappa.","Utah.21D..Eta.","Utah.21F..Iota.","Utah.21G..Lambda.","Utah.21H..Mu.","Utah.20B.S.732A","Utah.20E..EU1.","Utah.21C..Epsilon.","Utah.20A.S.439K","Utah.S.677H.Robin1","Utah.S.677P.Pelican","Utah.20G.S.677H.Robin2","Utah.20G.S.677H.Yellowhammer","Utah.20G.S.677H.Heron","Utah.20G.S.677H.Bluebird","Utah.20G.S.677H.Quail","Utah.20G.S.677H.Mockingbird"
"37","2021-09-20",2184,0,0,0,71,102,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","2021-10-04",1595,0,0,0,28,50,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",2381,0,0,0,43,73,2259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",1543,0,0,0,23,41,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",1507,0,0,0,22,29,1453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",1998,0,0,0,25,42,1925,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",2566,0,0,0,18,32,1478,1003,25,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",4445,0,0,0,2,3,470,3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",5264,0,0,0,0,1,40,5213,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",6772,0,0,0,0,1,25,6725,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",3195,0,0,0,0,0,10,3156,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",1468,0,0,0,0,0,2,1390,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",380,0,0,0,0,0,2,311,63,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",242,0,0,0,0,0,0,99,135,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",221,0,0,0,0,0,0,26,160,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",289,0,0,0,0,0,0,5,187,3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",102,0,0,0,0,0,0,1,39,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
